What is your Gender?,What is your Age?,"02)	What is your university?","03)	What is your Academic Year?",What is your Faculty?,What is your study location?,What is the city of study location?,Do you engage with e-learning?,What is the mode of your internet connection?,What is your internet connection strength?,What device do you use for e-learning?,How much time do you spend each day on an average on distance education?,How effective has e-learning been for you?,How helpful your University has been in offering you the resources to learn from e-learning?,Do you enjoy learning remotely?,How helpful are your teachers while studying online?,How satisfied or dissatisfied were you with the content of the courses?,How satisfied or dissatisfied were you with the format of the courses in e-learning?,How satisfied or dissatisfied were you with the online interaction you had with the instructor?,How satisfied or dissatisfied were you with the amount of online interaction you had with other students?,The course instructor was accessible to answer questions or give feedback.,The presentation of course topics was clear.,How do you feel overall about e-learning?,How stressful were your students while learning remotely during the COVID-Not at all stressful9 pandemic?,How peaceful is the environment at home while e-learning?,How much satisfied with the internet connection for e-learning?,Your comments on e learning satisfaction if any?
Female,20,University of Colombo,1,Law,Home,Ratnapura,Yes,Mobile;WiFi Router,4,Laptop;Tablet;Smartphone,3-5 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Satisfied,Satisfied,Satisfied,Very Satisfied,Agree,Agree,Good,Moderately stressful,Very helpful,Satisfied,
Female,22,University of Colombo,2,Low,Relative's Home,Kurunegala,No,Mobile;WiFi Router,3,Laptop;Smartphone,3-5 hours,Very effective,Very helpful,"Yes, but I would like to change a few things",Moderately helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Undecided,Agree,Good,Moderately stressful,Very helpful,Satisfied,
Male,25,Eastern University,3,Applied Sciences,Home,Embilipitiya,Yes,Mobile,3,Laptop;Smartphone,1-3 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Satisfied,Agree,Agree,Good,Very stressful,Very helpful,Satisfied,
Female,22,University of Sri Jayewardenepura,2,Applied Sciences,Relative's Home,Maharagama,Yes,WiFi Router,5,Laptop;Smartphone,3-5 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Very Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Disagree,Fair,Moderately stressful,Not at all helpful,Dissatisfied,
Female,26,University of Sri Jayewardenepura,5,Applied Sciences,Friend's Home,Maharagama,Yes,WiFi Router,5,Laptop;Smartphone,10+ hours,Moderately effective,Very helpful,"No, there are quite a few challenges",Moderately helpful,Neither Satisfied or Dissatisfied,Satisfied,Very Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Disagree,Disagree,Poor,Not at all stressful,Not at all helpful,Very Dissatisfied,
Female,21,University of Sri Jayewardenepura,2,Applied Sciences,"Public Place (Eg:- Library, Temple, etc...)",Kottawa,Yes,WiFi Router,2,Laptop;Smartphone,3-5 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Fair,Moderately stressful,Slightly helpful,Dissatisfied,
Female,25,University of Sri Jayewardenepura,4,Applied Sciences,Cafe,Anuradhapura,Yes,WiFi Router,5,Laptop;Smartphone,3-5 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Very Satisfied,Very Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Very good,Moderately stressful,Not at all helpful,Neither Satisfied or Dissatisfied,
Female,22,University of Sri Jayewardenepura,2,Applied Sciences,Relative's Home,Anuradhapura,Yes,WiFi Router,5,Desktop,3-5 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Neither Satisfied or Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Disagree,Agree,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Female,26,University of Sri Jayewardenepura,5,Applied Sciences,"Public Place (Eg:- Library, Temple, etc...)",Anuradhapura,Yes,WiFi Router,3,Laptop;Smartphone,3-5 hours,Moderately effective,Extremely helpfuL,"No, there are quite a few challenges",Moderately helpful,Satisfied,Very Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Poor,Moderately stressful,Slightly helpful,Very Dissatisfied,
Female,25,University of Sri Jayewardenepura,4,Applied Sciences,Relative's Home,Anuradhapura,Yes,Broadband,2,Laptop,3-5 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Disagree,Undecided,Fair,Moderately stressful,Slightly helpful,Dissatisfied,
Female,23,University of Sri Jayewardenepura,3,Applied Sciences,Friend's Home,Polonnaruwa,Yes,WiFi Router,3,Laptop,3-5 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Excellent,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,23,University of Sri Jayewardenepura,3,Applied Sciences,Relative's Home,Polonnaruwa,Yes,Mobile;WiFi Router,5,Laptop,3-5 hours,Very effective,Very helpful,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Good,Moderately stressful,Slightly helpful,Very Dissatisfied,
Female,22,University of Sri Jayewardenepura,2,Applied Sciences,Home,Polonnaruwa,Yes,WiFi Router,4,Smartphone,10+ hours,Moderately effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Very Satisfied,Dissatisfied,Satisfied,Very Dissatisfied,Undecided,Undecided,Good,Slightly stressful,Slightly helpful,Dissatisfied,
Female,25,University of Sri Jayewardenepura,4,Applied Sciences,Home,Polonnaruwa,Yes,WiFi Router,3,Smartphone,3-5 hours,Very effective,Very helpful,"No, not at all",Very helpful,Satisfied,Very Satisfied,Dissatisfied,Satisfied,Agree,Strongly Disagree,Good,Not at all stressful,Slightly helpful,Dissatisfied,
Female,21,University of Sri Jayewardenepura,2,Applied Sciences,Home,Polonnaruwa,Yes,WiFi Router,3,Smartphone,3-5 hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Extremely helpful,Satisfied,Satisfied,Satisfied,Satisfied,Agree,Undecided,Good,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,26,University of Sri Jayewardenepura,5,Applied Sciences,Home,Polonnaruwa,Yes,WiFi Router,3,Smartphone,3-5 hours,Moderately effective,Very helpful,"No, there are quite a few challenges",Extremely helpful,Satisfied,Satisfied,Satisfied,Dissatisfied,Agree,Agree,Good,Slightly stressful,Not at all helpful,Very Dissatisfied,Internet conection is bad
Female,23,University of Sri Jayewardenepura,3,Applied Sciences,Home,Jaffna,Yes,WiFi Router,3,Smartphone,3-5 hours,Moderately effective,Slightly helpful,"Yes, but I would like to change a few things",Very helpful,Neither Satisfied or Dissatisfied,Dissatisfied,Very Dissatisfied,Satisfied,Disagree,Disagree,Good,Very stressful,Slightly helpful,Dissatisfied,
Female,22,University of Sri Jayewardenepura,2,Social sciences ,Home,Jaffna,Yes,WiFi Router,3,Smartphone,10+ hours,Moderately effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Satisfied,Satisfied,Disagree,Strongly Disagree,Good,Slightly stressful,Slightly helpful,Dissatisfied,
Female,26,University of Sri Jayewardenepura,5,Social sciences ,Home,Jaffna,Yes,WiFi Router,3,Smartphone,3-5 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Very Satisfied,Dissatisfied,Very Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Disagree,Good,Very stressful,Not at all helpful,Very Dissatisfied,
Female,23,University of Sri Jayewardenepura,3,Social sciences ,Home,Jaffna,Yes,WiFi Router,3,Smartphone,3-5 hours,Moderately effective,Slightly helpful,"Yes, but I would like to change a few things",Very helpful,Very Satisfied,Dissatisfied,Very Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Undecided,Good,Very stressful,Slightly helpful,Dissatisfied,
Female,21,University of Sri Jayewardenepura,2,Social sciences ,Home,Badualla,Yes,WiFi Router,3,Smartphone,3-5 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Good,Moderately stressful,Slightly helpful,Dissatisfied,
Female,24,University of Sri Jayewardenepura,4,Social sciences ,Home,Badualla,Yes,WiFi Router,1,Laptop;Smartphone,3-5 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Very helpful,Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Disagree,Poor,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,24,University of Sri Jayewardenepura,4,Social sciences ,Home,Badualla,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Moderately helpful,Very Satisfied,Dissatisfied,Satisfied,Satisfied,Disagree,Disagree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,26,University of Sri Jayewardenepura,5,Social sciences ,Relative's Home,Badualla,Yes,WiFi Router,5,Laptop;Smartphone,3-5 hours,Very effective,Very helpful,"No, there are quite a few challenges",Moderately helpful,Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Agree,Agree,Very good,Very stressful,Slightly helpful,Very Dissatisfied,
Female,23,University of Sri Jayewardenepura,3,Social sciences ,Relative's Home,Welimada,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Very effective,Very helpful,"No, there are quite a few challenges",Not at all helpful,Satisfied,Satisfied,Satisfied,Satisfied,Agree,Agree,Poor,Slightly stressful,Slightly helpful,Very Dissatisfied,
Female,24,University of Sri Jayewardenepura,4,Social sciences ,Home,Monaragala,Yes,WiFi Router,2,Laptop;Smartphone,3-5 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Very helpful,Very Satisfied,Dissatisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Disagree,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Female,22,University of Sri Jayewardenepura,2,Social sciences ,Home,Welimada,Yes,WiFi Router,3,Laptop;Smartphone,3-5 hours,Very effective,Very helpful,"No, there are quite a few challenges",Extremely helpful,Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Agree,Agree,Good,Very stressful,Not at all helpful,Very Dissatisfied,
Female,23,University of Sri Jayewardenepura,3,Social sciences ,Home,Welimada,Yes,WiFi Router,2,Laptop;Smartphone,3-5 hours,Moderately effective,Extremely helpfuL,"No, not at all",Extremely helpful,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Female,20,University of Sri Jayewardenepura,1,Social sciences ,Home,Welimada,Yes,WiFi Router,2,Laptop;Smartphone,3-5 hours,Moderately effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Very Dissatisfied,Strongly Agree,Strongly Agree,Fair,Moderately stressful,Slightly helpful,Dissatisfied,
Female,26,University of Sri Jayewardenepura,5,Social sciences ,Home,Monaragala,Yes,WiFi Router,2,Laptop;Smartphone,3-5 hours,Very effective,Extremely helpfuL,"No, not at all",Slightly helpful,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Agree,Strongly Agree,Fair,Very stressful,Slightly helpful,Dissatisfied,
Female,24,University of Sri Jayewardenepura,4,Medical Faculty,Home,Monaragala,Yes,WiFi Router,3,Laptop;Smartphone,3-5 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Good,Not at all stressful,Slightly helpful,Neither Satisfied or Dissatisfied,
Female,21,University of Sri Jayewardenepura,2,Medical Faculty,Relative's Home,kaduwela,Yes,WiFi Router,3,Laptop;Smartphone,3-5 hours,Moderately effective,Slightly helpful,"Yes, but I would like to change a few things",Very helpful,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Disagree,Disagree,Good,Slightly stressful,Slightly helpful,Dissatisfied,
Female,25,University of Sri Jayewardenepura,4,Medical Faculty,"Public Place (Eg:- Library, Temple, etc...)",kaduwela,Yes,WiFi Router,5,Laptop;Smartphone,3-5 hours,Very effective,Very helpful,"No, not at all",Not at all helpful,Very Satisfied,Satisfied,Very Dissatisfied,Dissatisfied,Agree,Agree,Good,Very stressful,Slightly helpful,Neither Satisfied or Dissatisfied,
Female,22,University of Sri Jayewardenepura,2,Medical Faculty,Home,kaduwela,Yes,WiFi Router,5,Laptop;Smartphone,3-5 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Very Satisfied,Satisfied,Satisfied,Satisfied,Agree,Agree,Very good,Slightly stressful,Slightly helpful,Dissatisfied,
Female,21,University of Sri Jayewardenepura,2,Medical Faculty,Home,kaduwela,Yes,WiFi Router,5,Laptop;Smartphone,3-5 hours,Very effective,Very helpful,"No, not at all",Very helpful,Satisfied,Satisfied,Satisfied,Satisfied,Agree,Agree,Very good,Moderately stressful,Slightly helpful,Dissatisfied,
Female,22,University of Sri Jayewardenepura,2,Medical Faculty,Home,Malabe,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Very helpful,Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Disagree,Very good,Moderately stressful,Slightly helpful,Dissatisfied,
Female,26,University of Sri Jayewardenepura,5,Medical Faculty,Home,Malabe,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Neither Satisfied or Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Very good,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,20,University of Sri Jayewardenepura,1,Management,Home,Malabe,Yes,WiFi Router,3,Laptop;Smartphone,3-5 hours,Moderately effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Good,Moderately stressful,Slightly helpful,Dissatisfied,
Female,26,University of Sri Jayewardenepura,5,Management,Home,Malabe,Yes,Mobile;WiFi Router,1,Laptop;Smartphone,3-5 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Moderately helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Poor,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,24,University of Sri Jayewardenepura,4,Management,Home,Malabe,Yes,WiFi Router,4,Desktop,3-5 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Very Satisfied,Very Satisfied,Very Dissatisfied,Satisfied,Strongly Agree,Strongly Agree,Very good,Very stressful,Not at all helpful,Dissatisfied,
Female,20,University of Sri Jayewardenepura,1,Management,Home,Piliyandala,Yes,WiFi Router,3,Laptop;Smartphone,3-5 hours,Moderately effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Disagree,Disagree,Good,Very stressful,Slightly helpful,Dissatisfied,
Female,26,University of Sri Jayewardenepura,5,Management,Home,Piliyandala,Yes,WiFi Router,3,Laptop;Smartphone,3-5 hours,Moderately effective,Extremely helpfuL,"No, not at all",Very helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Dissatisfied,Dissatisfied,Strongly Agree,Strongly Agree,Good,Slightly stressful,Not at all helpful,Dissatisfied,
Female,21,University of Sri Jayewardenepura,2,Management,Relative's Home,Piliyandala,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Very Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Good,Moderately stressful,Slightly helpful,Dissatisfied,
Female,25,University of Sri Jayewardenepura,4,Management,Friend's Home,Piliyandala,Yes,Broadband,3,Laptop;Smartphone,3-5 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Disagree,Disagree,Good,Very stressful,Slightly helpful,Dissatisfied,
Female,21,University of Sri Jayewardenepura,2,Management,Relative's Home,Chillaw,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Moderately helpful,Neither Satisfied or Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Disagree,Disagree,Very good,Very stressful,Slightly helpful,Dissatisfied,
Female,24,University of Sri Jayewardenepura,4,Management,Home,Chillaw,Yes,WiFi Router,4,Smartphone,3-5 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Very Satisfied,Dissatisfied,Very Dissatisfied,Satisfied,Undecided,Disagree,Excellent,Very stressful,Slightly helpful,Dissatisfied,
Female,26,University of Sri Jayewardenepura,5,Management,Home,Chillaw,No,WiFi Router,3,Smartphone,3-5 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Disagree,Strongly Agree,Good,Very stressful,Slightly helpful,Dissatisfied,
Female,22,University of Sri Jayewardenepura,2,Management,Home,Chillaw,Yes,WiFi Router,5,Smartphone,3-5 hours,Moderately effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Undecided,Disagree,Excellent,Very stressful,Slightly helpful,Dissatisfied,
Female,23,University of Sri Jayewardenepura,3,Tec,Home,Chillaw,Yes,WiFi Router,5,Smartphone,3-5 hours,Moderately effective,Very helpful,"No, not at all",Not at all helpful,Very Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Undecided,Agree,Good,Moderately stressful,Not at all helpful,Neither Satisfied or Dissatisfied,
Female,22,University of Sri Jayewardenepura,2,Tec,Home,Rajagiriya,Yes,WiFi Router,5,Smartphone,3-5 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Satisfied,Satisfied,Strongly Disagree,Disagree,Good,Not at all stressful,Slightly helpful,Dissatisfied,
Female,21,University of Sri Jayewardenepura,2,Tec,Home,Rajagiriya,Yes,Satellite,3,Smartphone,3-5 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Very Satisfied,Satisfied,Satisfied,Strongly Disagree,Strongly Agree,Good,Not at all stressful,Not at all helpful,Neither Satisfied or Dissatisfied,
Female,24,University of Sri Jayewardenepura,4,Tec,Home,Rajagiriya,Yes,WiFi Router,1,Smartphone,3-5 hours,Moderately effective,Extremely helpfuL,"No, there are quite a few challenges",Slightly helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Strongly Agree,Poor,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,26,University of Sri Jayewardenepura,5,Tec,Home,Rajagiriya,Yes,WiFi Router,4,Smartphone,3-5 hours,Moderately effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Disagree,Strongly Agree,Good,Very stressful,Slightly helpful,Very Dissatisfied,
Female,23,University of Sri Jayewardenepura,3,Tec,Home,Rajagiriya,Yes,WiFi Router,5,Laptop,3-5 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Disagree,Strongly Agree,Good,Not at all stressful,Slightly helpful,Dissatisfied,
Female,23,University of Sri Jayewardenepura,3,Tec,Home,Gampaha,Yes,WiFi Router,2,Laptop,3-5 hours,Moderately effective,Slightly helpful,"Yes, but I would like to change a few things",Moderately helpful,Neither Satisfied or Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Disagree,Disagree,Fair,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,22,University of Sri Jayewardenepura,2,Tec,Home,Gampaha,Yes,WiFi Router,3,Laptop,3-5 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Very Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Disagree,Agree,Good,Moderately stressful,Not at all helpful,Neither Satisfied or Dissatisfied,
Female,21,University of Sri Jayewardenepura,2,Applied Sciences,Relative's Home,Gampaha,Yes,WiFi Router,4,Laptop,3-5 hours,Moderately effective,Extremely helpfuL,"No, there are quite a few challenges",Moderately helpful,Satisfied,Very Satisfied,Dissatisfied,Dissatisfied,Undecided,Undecided,Very good,Slightly stressful,Not at all helpful,Dissatisfied,
Female,25,University of Sri Jayewardenepura,4,Applied Sciences,"Public Place (Eg:- Library, Temple, etc...)",Gampaha,Yes,WiFi Router,4,Laptop,3-5 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Disagree,Good,Moderately stressful,Slightly helpful,Neither Satisfied or Dissatisfied,"No connection, No e learning"
Female,22,University of Sri Jayewardenepura,2,Applied Sciences,Home,Polgahawela,Yes,WiFi Router,3,Desktop,3-5 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Disagree,Good,Slightly stressful,Slightly helpful,Dissatisfied,
Female,25,University of Sri Jayewardenepura,4,Applied Sciences,Home,Polgahawela,Yes,Broadband,4,Laptop;Smartphone,10+ hours,Moderately effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Dissatisfied,Dissatisfied,Strongly Agree,Disagree,Good,Slightly stressful,Slightly helpful,Neither Satisfied or Dissatisfied,
Female,22,University of Sri Jayewardenepura,2,Applied Sciences,Home,Polgahawela,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Disagree,Good,Moderately stressful,Slightly helpful,Neither Satisfied or Dissatisfied,
Female,26,University of Colombo,5,Applied Sciences,Home,Polgahawela,Yes,WiFi Router,4,Laptop;Smartphone,3-5 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Undecided,Disagree,Excellent,Slightly stressful,Not at all helpful,Dissatisfied,
